area;LABOR FORCE;EMPLOYMENT;UNEMPLOYMENT;RATE;;;;;;;
Alameda;805,200;763,000;42,200;5.20%;;;;;;;
Alpine;480;440;40;8.00%;;;;;;;
Amador;14,710;13,870;840;5.70%;;;;;;;
Butte;93,800;88,400;5,400;5.70%;;;;;;; 
Calaveras;21,840;20,810;1,040;4.70%;;;;;;;
Colusa;11,240;10,300;940;8.40%;;;;;;;
Contra Costa;537,400;507,600;29,800;5.50%;;;;;;;
Del Norte;9,530;8,950;590;6.10%;;;;;;;
El Dorado;91,500;87,000;4,500;4.90%;;;;;;;
Fresno;445,000;410,400;34,600;7.80%;;;;;;;
Glenn;12,870;12,140;730;5.70%;;;;;;;
Humboldt;60,700;57,600;3,100;5.00%;;;;;;;
Imperial;68,200;55,900;12,300;18.10%;;;;;;;
Inyo;8,250;7,840;410;4.90%;;;;;;;
Kern;385,100;351,500;33,600;8.70%;;;;;;;
Kings;56,300;51,900;4,500;8.00%;;;;;;;
Lake;29,260;27,440;1,820;6.20%;;;;;;;
Lassen;9,810;9,350;450;4.60%;;;;;;;
Los Angeles;5,034,500;4,621,500;413,000;8.20%;;;;;;;
Madera;62,600;58,100;4,500;7.30%;;;;;;;
Marin;133,900;129,100;4,800;3.60%;;;;;;;
Mariposa;7,730;7,290;440;5.70%;;;;;;;
Mendocino;36,960;35,060;1,900;5.10%;;;;;;;
Merced;118,300;108,600;9,800;8.20%;;;;;;;
Modoc;3,390;3,220;170;5.10%;;;;;;;
Mono;8,420;7,950;460;5.50%;;;;;;;
Monterey;225,400;212,600;12,800;5.70%;;;;;;;
Napa;71,300;68,000;3,300;4.60%;;;;;;;
Nevada;47,730;45,510;2,220;4.60%;;;;;;;
Orange;1,582,000;1,502,200;79,800;5.00%;;;;;;;
Placer;186,800;178,800;8,000;4.30%;;;;;;;
Plumas;7,990;7,460;530;6.70%;;;;;;;
Riverside;1,114,900;1,041,500;73,400;6.60%;;;;;;;
Sacramento;712,400;669,300;43,100;6.10%;;;;;;;
San Benito;31,600;29,700;1,900;6.00%;;;;;;;
San Bernardino;978,700;914,000;64,700;6.60%;;;;;;;
San Diego;1,534,700;1,448,600;86,100;5.60%;;;;;;;
San Francisco;558,800;535,700;23,100;4.10%;;;;;;;
San Joaquin;333,100;308,200;24,900;7.50%;;;;;;;
San Luis Obispo;131,000;125,000;6,000;4.60%;;;;;;;
San Mateo;439,400;422,600;16,800;3.80%;;;;;;;
Santa Barbara;221,400;211,100;10,300;4.70%;;;;;;;
Santa Clara;1,027,100;986,800;40,300;3.90%;;;;;;;
Santa Cruz;134,200;127,100;7,200;5.40%;;;;;;;
Shasta;75,000;70,800;4,200;5.60%;;;;;;;
Sierra;1,410;1,350;60;4.30%;;;;;;;
Siskiyou;17,240;16,160;1,080;6.20%;;;;;;;
Solano;202,600;189,700;12,800;6.30%;;;;;;;
Sonoma;249,600;238,400;11,200;4.50%;;;;;;;
Stanislaus;244,900;227,900;17,000;6.90%;;;;;;;
Sutter;46,200;42,900;3,300;7.10%;;;;;;;
Tehama;26,260;24,720;1,540;5.90%;;;;;;;
Trinity;4,740;4,510;220;4.70%;;;;;;;
Tulare;200,500;181,800;18,700;9.30%;;;;;;;
Tuolumne;19,900;18,680;1,220;6.10%;;;;;;;
Ventura;410,200;388,600;21,600;5.30%;;;;;;;
Yolo;107,300;102,200;5,100;4.70%;;;;;;;
Yuba;30,300;28,100;2,200;7.30%;;;;;;;
