"area","FIPS","unemployment_2020","perc_income","hhold_income","RUC_Code","poverty_all","poverty_17","hi_edu"
"Alameda","06001",8.8,133.8,107589,1,8.9,9.8,47.4
"Alpine","06003",11.2,72.3,58112,8,17.2,29.6,34.5
"Amador","06005",9.1,77.9,62640,6,9.8,12.5,19.3
"Butte","06007",9.2,72.6,58394,3,16.1,16.1,27.2
"Calaveras","06009",7.6,84.9,68248,6,12.1,19.6,18.3
"California","06000",10.1,100,80423,NA,11.8,15.6,33.9
"Colusa","06011",16,73.4,59048,6,12,15.3,15
"Contra Costa","06013",8.9,132.5,106555,1,7.9,9.9,42.4
"Del Norte","06015",9.5,60.9,48979,7,17.9,25.8,14.8
"El Dorado","06017",8.3,107.2,86202,1,8.7,9.1,34.3
"Fresno","06019",11.3,70.8,56926,2,20.5,29,21.2
"Glenn","06021",8.9,69.2,55682,6,12.1,18.1,14.2
"Humboldt","06023",8.4,63.6,51134,5,19.1,20.5,30.4
"Imperial","06025",22.5,59.8,48102,3,22,30.7,15.2
"Inyo","06027",7.8,74.1,59605,7,11.7,15.4,27.2
"Kern","06029",12.5,66.2,53245,2,19,26,16.4
"Kings","06031",11.6,71.2,57297,3,16,22.3,14.7
"Lake","06033",9.6,58.3,46897,4,18.3,25.2,15.5
"Lassen","06035",7.1,66.7,53613,7,16.5,15,12.9
"Los Angeles","06037",12.8,90.4,72721,1,13.4,18.3,32.5
"Madera","06039",10.8,76,61105,3,17.6,26.1,14.6
"Marin","06041",6.7,139.3,112069,1,6.9,7.2,59.5
"Mariposa","06043",10.9,65.6,52760,8,15.1,21.9,24.6
"Mendocino","06045",8.9,65,52309,4,14,20.4,24.4
"Merced","06047",12.2,74.3,59733,2,17,22.5,13.8
"Modoc","06049",8.5,56.3,45311,6,20.5,31,15.2
"Mono","06051",11.8,82.3,66226,7,10.1,12,28.8
"Monterey","06053",10.8,95.1,76509,2,12.6,18.4,24.7
"Napa","06055",8.7,112.2,90230,3,7.4,8.4,35.7
"Nevada","06057",8,86.5,69550,4,9.4,13.5,37.2
"Orange","06059",8.8,119.1,95761,1,9.5,12.6,40.6
"Placer","06061",7.3,121.5,97688,1,6.6,7.5,39.7
"Plumas","06063",10.7,73.8,59376,7,13.2,19.3,23.7
"Riverside","06065",9.9,90.7,72905,1,11.3,14.1,22.3
"Sacramento","06067",9.3,89.4,71891,1,12.6,16,30.9
"San Benito","06069",9.9,104.7,84209,1,10.4,13.9,19.7
"San Bernardino","06071",9.4,83.8,67398,1,13.3,18.5,21
"San Diego","06073",9.2,103.9,83576,1,10.3,12.8,38.8
"San Francisco","06075",7.8,151.4,121795,1,9.5,9.3,58.1
"San Joaquin","06077",11.3,85.1,68458,2,13.6,18.2,18.8
"San Luis Obispo","06079",7.7,95.2,76599,2,11.6,11.2,35.4
"San Mateo","06081",6.9,168.2,135234,1,6.1,6.3,51
"Santa Barbara","06083",8,92.7,74530,2,12,13.1,34.2
"Santa Clara","06085",7,164.7,132444,1,6.1,5.5,52.4
"Santa Cruz","06087",9.5,106.6,85770,2,10.6,10.4,40.8
"Shasta","06089",8.7,76.4,61464,3,13.3,16.5,22.2
"Sierra","06091",8,69.5,55862,8,12.7,18.4,17.9
"Siskiyou","06093",9.7,57.1,45954,6,17.4,25.5,23.2
"Solano","06095",9.5,106.6,85704,2,9,11.2,26.9
"Sonoma","06097",7.9,108.3,87084,2,7.2,7.7,35.5
"Stanislaus","06099",10.7,78,62761,2,13,17.1,17.1
"Sutter","06101",11,75.7,60910,3,12.8,17.4,18.2
"Tehama","06103",8.8,64.3,51672,4,16.3,23.7,15.7
"Trinity","06105",8,54.6,43881,8,16.5,25.3,19.5
"Tulare","06107",13.2,70.6,56776,2,18.9,25.8,14.6
"Tuolumne","06109",10.4,80.5,64729,4,11.3,15.2,20.5
"Ventura","06111",8.6,113.7,91446,2,8.2,11.4,33.8
"Yolo","06113",7.5,88.2,70951,1,16.9,13,41.4
"Yuba","06115",10.5,70.4,56607,3,15.2,18.8,17.1
